arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00058,European Defence Readiness,d'Artis Kancs,,,General Economics (econ.GN),https://arxiv.org/abs/2501.00058,https://arxiv.org/pdf/2501.00058,,https://arxiv.org/format/2501.00058
arXiv:2501.00218,How Well Did U.S. Rail and Intermodal Freight Respond to the COVID-19 Pandemic vs. the Great Recession?,"Max T.M. Ng, Joseph Schofer, Hani S. Mahmassani","28 pages, 26 figures. This is the accepted version of a work that was published in Transportation Research Record",Transportation Research Record 2677.4 (2023): 597-610,General Economics (econ.GN); Applications (stat.AP),https://arxiv.org/abs/2501.00218,https://arxiv.org/pdf/2501.00218,,https://arxiv.org/format/2501.00218
arXiv:2501.00235,Robust Intervention in Networks,"Daeyoung Jeong, Tongseok Lim, Euncheol Shin","The latest version of the paper can be accessed at this https URL, and the online appendix is available at this https URL",,Theoretical Economics (econ.TH),https://arxiv.org/abs/2501.00235,https://arxiv.org/pdf/2501.00235,https://arxiv.org/html/2501.00235v2,https://arxiv.org/format/2501.00235
arXiv:2501.00382,Adventures in Demand Analysis Using AI,"Philipp Bach, Victor Chernozhukov, Sven Klaassen, Martin Spindler, Jan Teichert-Kluge, Suhas Vijaykumar","42 pages, 9 figures",,General Economics (econ.GN); Artificial Intelligence (cs.AI); Applications (stat.AP); Machine Learning (stat.ML),https://arxiv.org/abs/2501.00382,https://arxiv.org/pdf/2501.00382,https://arxiv.org/html/2501.00382v1,https://arxiv.org/format/2501.00382
arXiv:2501.00428,"Regression discontinuity aggregation, with an application to the union effects on inequality","Kirill Borusyak, Matan Kolerman-Shemer",,,Econometrics (econ.EM),https://arxiv.org/abs/2501.00428,https://arxiv.org/pdf/2501.00428,https://arxiv.org/html/2501.00428v1,https://arxiv.org/format/2501.00428
arXiv:2501.00578,The Limits of Tolerance,Alan D. Miller,,,Theoretical Economics (econ.TH); Logic in Computer Science (cs.LO),https://arxiv.org/abs/2501.00578,https://arxiv.org/pdf/2501.00578,https://arxiv.org/html/2501.00578v1,https://arxiv.org/format/2501.00578
arXiv:2501.00618,An Evaluation of Borda Count Variations Using Ranked Choice Voting Data,"N. Bradley Fox, Benjamin Bruyns",,,General Economics (econ.GN),https://arxiv.org/abs/2501.00618,https://arxiv.org/pdf/2501.00618,https://arxiv.org/html/2501.00618v2,https://arxiv.org/format/2501.00618
arXiv:2501.00633,Panel Estimation of Taxable Income Elasticities with Heterogeneity and Endogenous Budget Sets,"Soren Blomquist, Anil Kumar, Whitney K. Newey",,,Econometrics (econ.EM); Methodology (stat.ME),https://arxiv.org/abs/2501.00633,https://arxiv.org/pdf/2501.00633,https://arxiv.org/html/2501.00633v1,https://arxiv.org/format/2501.00633
arXiv:2501.00634,Copula Central Asymmetry of Equity Portfolios,Lorenzo Frattarolo,,,Econometrics (econ.EM),https://arxiv.org/abs/2501.00634,https://arxiv.org/pdf/2501.00634,https://arxiv.org/html/2501.00634v2,https://arxiv.org/format/2501.00634
arXiv:2501.00800,The Impact of Socio-Economic Challenges and Technological Progress on Economic Inequality: An Estimation with the Perelman Model and Ricci Flow Methods,Davit Gondauri,,,Econometrics (econ.EM); Differential Geometry (math.DG),https://arxiv.org/abs/2501.00800,https://arxiv.org/pdf/2501.00800,,https://arxiv.org/format/2501.00800
arXiv:2501.00863,Paternalism and Deliberation: An Experiment on Making Formal Rules,Max R. P. Grossmann,,,General Economics (econ.GN),https://arxiv.org/abs/2501.00863,https://arxiv.org/pdf/2501.00863,https://arxiv.org/html/2501.00863v1,https://arxiv.org/format/2501.00863
arXiv:2501.01084,Are Politicians Responsive to Mass Shootings? Evidence from U.S. State Legislatures,"Haotian Chen, Jack Kappelman",,,General Economics (econ.GN),https://arxiv.org/abs/2501.01084,https://arxiv.org/pdf/2501.01084,https://arxiv.org/html/2501.01084v2,https://arxiv.org/format/2501.01084
arXiv:2501.01260,The Learning Crisis: Three Years After COVID-19,"Tomasz Gajderowicz, Maciej Jakubowski, Alec Kennedy, Christian Christrup Kjeldsen, Harry Anthony Patrinos, Rolf Strietholt",,,General Economics (econ.GN),https://arxiv.org/abs/2501.01260,https://arxiv.org/pdf/2501.01260,,https://arxiv.org/format/2501.01260
arXiv:2501.01298,Inequality of opportunity under current China's license plate policy,"Nina Xiaochun Sun, Zaifang He, Yi Pang","Licence plate numbers in other major cities have not been covered (Guangzhou, Shenzhen), and hence new data still needs to be supplemented. Single GINI coefficient is insufficient to support conclusions in terms of inequality of opportunity, and we are still processing other methods. Therefore, this work is incomplete, and has been withdrawn by authors",,General Economics (econ.GN),https://arxiv.org/abs/2501.01298,https://arxiv.org/pdf/2501.01298,,https://arxiv.org/format/2501.01298
arXiv:2501.01447,Analyzing Country-Level Vaccination Rates and Determinants of Practical Capacity to Administer COVID-19 Vaccines,"Sharika J. Hegde, Max T.M. Ng, Marcos Rios, Hani S. Mahmassani, Ying Chen, Karen Smilowitz",Under consideration for more thorough analysis,,General Economics (econ.GN); Machine Learning (cs.LG); Econometrics (econ.EM); Applications (stat.AP),https://arxiv.org/abs/2501.01447,https://arxiv.org/pdf/2501.01447,,https://arxiv.org/format/2501.01447
