arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00009,Model-Driven Deep Neural Network for Enhanced AoA Estimation Using 5G gNB,"Shengheng Liu, Xingkang Li, Zihuan Mao, Peng Liu, Yongming Huang",Presented at AAAI 2024 (Main Technical Track),,Signal Processing (eess.SP); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2501.00009,https://arxiv.org/pdf/2501.00009,https://arxiv.org/html/2501.00009v1,https://arxiv.org/format/2501.00009
arXiv:2501.00024,LoRaFlow: High-Quality Signal Reconstruction using Rectified Flow,"Mohamed Osman, Tamer Nadeem",,,Signal Processing (eess.SP),https://arxiv.org/abs/2501.00024,https://arxiv.org/pdf/2501.00024,https://arxiv.org/html/2501.00024v1,https://arxiv.org/format/2501.00024
arXiv:2501.00039,Speech Recognition With LLMs Adapted to Disordered Speech Using Reinforcement Learning,"Chirag Nagpal, Subhashini Venugopalan, Jimmy Tobin, Marilyn Ladewig, Katherine Heller, Katrin Tomanek",Accepted at ICASSP 2025,,Audio and Speech Processing (eess.AS); Computation and Language (cs.CL); Machine Learning (cs.LG); Sound (cs.SD),https://arxiv.org/abs/2501.00039,https://arxiv.org/pdf/2501.00039,https://arxiv.org/html/2501.00039v1,https://arxiv.org/format/2501.00039
arXiv:2501.00053,Implementing Trust in Non-Small Cell Lung Cancer Diagnosis with a Conformalized Uncertainty-Aware AI Framework in Whole-Slide Images,"Xiaoge Zhang, Tao Wang, Chao Yan, Fedaa Najdawi, Kai Zhou, Yuan Ma, Yiu-ming Cheung, Bradley A. Malin",,,Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2501.00053,https://arxiv.org/pdf/2501.00053,https://arxiv.org/html/2501.00053v1,https://arxiv.org/format/2501.00053
arXiv:2501.00110,Modelling and Control of Spatial Behaviours in Multi-Agent Systems with Applications to Biology and Robotics,Andrea Giusti,PhD thesis,,Systems and Control (eess.SY); Multiagent Systems (cs.MA); Robotics (cs.RO),https://arxiv.org/abs/2501.00110,https://arxiv.org/pdf/2501.00110,,https://arxiv.org/format/2501.00110
arXiv:2501.00114,DiCoW: Diarization-Conditioned Whisper for Target Speaker Automatic Speech Recognition,"Alexander Polok, Dominik Klement, Martin Kocour, Jiangyu Han, Federico Landini, Bolaji Yusuf, Matthew Wiesner, Sanjeev Khudanpur, Jan Černocký, Lukáš Burget",,,Audio and Speech Processing (eess.AS); Sound (cs.SD),https://arxiv.org/abs/2501.00114,https://arxiv.org/pdf/2501.00114,https://arxiv.org/html/2501.00114v1,https://arxiv.org/format/2501.00114
arXiv:2501.00145,Tackling Cognitive Impairment Detection from Speech: A submission to the PROCESS Challenge,"Catarina Botelho, David Gimeno-Gómez, Francisco Teixeira, John Mendonça, Patrícia Pereira, Diogo A.P. Nunes, Thomas Rolland, Anna Pompili, Rubén Solera-Ureña, Maria Ponte, David Martins de Matos, Carlos-D. Martínez-Hinarejos, Isabel Trancoso, Alberto Abad",,,Audio and Speech Processing (eess.AS); Sound (cs.SD),https://arxiv.org/abs/2501.00145,https://arxiv.org/pdf/2501.00145,https://arxiv.org/html/2501.00145v1,https://arxiv.org/format/2501.00145
arXiv:2501.00167,On Functional Observability of Nonlinear Systems and the Design of Functional Observers with Assignable Error Dynamics,Costas Kravaris,,,Systems and Control (eess.SY),https://arxiv.org/abs/2501.00167,https://arxiv.org/pdf/2501.00167,,https://arxiv.org/format/2501.00167
arXiv:2501.00201,Hierarchical Functionality Prioritization in Multicast ISAC: Optimal Admission Control and Discrete-Phase Beamforming,"Luis F. Abanto-Leon, Setareh Maghsudi",5 pages,"IEEE Communications Letters, 2024",Signal Processing (eess.SP); Information Theory (cs.IT),https://arxiv.org/abs/2501.00201,https://arxiv.org/pdf/2501.00201,https://arxiv.org/html/2501.00201v1,https://arxiv.org/format/2501.00201
arXiv:2501.00211,Distributed Traffic Control in Complex Dynamic Roadblocks: A Multi-Agent Deep RL Approach,"Noor Aboueleneen, Yahuza Bello, Abdullatif Albaseer, Ahmed Refaey Hussein, Mohamed Abdallah, Ekram Hossain",,,Signal Processing (eess.SP); Emerging Technologies (cs.ET),https://arxiv.org/abs/2501.00211,https://arxiv.org/pdf/2501.00211,https://arxiv.org/html/2501.00211v1,https://arxiv.org/format/2501.00211
