arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00006,Ulam meets Turing: constructing quadratic maps with non-computable SRB measures,"Cristóbal Rojas, Michael Yampolsky","13 pages, 1 figure. arXiv admin note: substantial text overlap with arXiv:1910.09625",,Dynamical Systems (math.DS),https://arxiv.org/abs/2501.00006,https://arxiv.org/pdf/2501.00006,https://arxiv.org/html/2501.00006v1,https://arxiv.org/format/2501.00006
arXiv:2501.00035,Navigating Epidemic Mathematics: Exploring Tools for Mathematical Modelling in Biology,"Pabel Shahrear, Md. Shahedul Islam, Md. Abu Bakkar, Anika Bushra, Ismail Hossain","27 pages, 7 figures, 7 tables",,History and Overview (math.HO),https://arxiv.org/abs/2501.00035,https://arxiv.org/pdf/2501.00035,,https://arxiv.org/format/2501.00035
arXiv:2501.00041,Sharp threshold of scattering versus non-scattering for some mass-sub-critical inhomogeneous NLS,"B. Ayed. Sabria, T. Saanouni",,,Analysis of PDEs (math.AP),https://arxiv.org/abs/2501.00041,https://arxiv.org/pdf/2501.00041,https://arxiv.org/html/2501.00041v1,https://arxiv.org/format/2501.00041
arXiv:2501.00047,$σ$-Sets and $σ$-Antisets,"Ivan Gatica, Alfonso Bustamente",,,General Mathematics (math.GM),https://arxiv.org/abs/2501.00047,https://arxiv.org/pdf/2501.00047,https://arxiv.org/html/2501.00047v3,https://arxiv.org/format/2501.00047
arXiv:2501.00071,Overview of the proof of the exterior stability of the $(1+3)$-Minkowski space-time governed by the Einstein-Yang-Mills system in the Lorenz gauge,Sari Ghanem,28 pages. arXiv admin note: substantial text overlap with arXiv:2310.08196,,Analysis of PDEs (math.AP); General Relativity and Quantum Cosmology (gr-qc); Differential Geometry (math.DG),https://arxiv.org/abs/2501.00071,https://arxiv.org/pdf/2501.00071,https://arxiv.org/html/2501.00071v1,https://arxiv.org/format/2501.00071
arXiv:2501.00075,Community detection by simulated bifurcation,"Wei Li, Yi-Lun Du, Nan Su, Konrad Tywoniuk, Kyle Godbey, Horst Stöcker","7 pages, 4 figures, 2 tables",,Optimization and Control (math.OC); Statistical Mechanics (cond-mat.stat-mech); Risk Management (q-fin.RM); Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00075,https://arxiv.org/pdf/2501.00075,,https://arxiv.org/format/2501.00075
arXiv:2501.00080,A Data-driven Approach to Risk-aware Robust Design,"Luis G. Crespo, Bret Stanford, Natalia Alexandrov",,,Optimization and Control (math.OC),https://arxiv.org/abs/2501.00080,https://arxiv.org/pdf/2501.00080,https://arxiv.org/html/2501.00080v1,https://arxiv.org/format/2501.00080
arXiv:2501.00082,"Symmetry of meromorphic differentials produced by involution identity, and relation to integer partitions","Alexander Hock, Sergey Shadrin, Raimar Wulkenhaar",29 pages. Conjecture 1 of v1 is Theorem 1 in v2 with proof in sec. 6,,Complex Variables (math.CV); Mathematical Physics (math-ph); Combinatorics (math.CO),https://arxiv.org/abs/2501.00082,https://arxiv.org/pdf/2501.00082,https://arxiv.org/html/2501.00082v2,https://arxiv.org/format/2501.00082
arXiv:2501.00102,Abundancy of $z$-\v Soltés' digraphs,Stijn Cambie,"6 Pages, 1 Figure",,Combinatorics (math.CO),https://arxiv.org/abs/2501.00102,https://arxiv.org/pdf/2501.00102,https://arxiv.org/html/2501.00102v1,https://arxiv.org/format/2501.00102
arXiv:2501.00105,A configuration space model for algebraic function spaces,Oishee Banerjee,22 pages. Comments are welcome!,,Algebraic Geometry (math.AG); Algebraic Topology (math.AT),https://arxiv.org/abs/2501.00105,https://arxiv.org/pdf/2501.00105,https://arxiv.org/html/2501.00105v1,https://arxiv.org/format/2501.00105
