arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00034,Time Series Feature Redundancy Paradox: An Empirical Study Based on Mortgage Default Prediction,"Chengyue Huang, Yahe Yang",,,Statistical Finance (q-fin.ST); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2501.00034,https://arxiv.org/pdf/2501.00034,https://arxiv.org/html/2501.00034v1,https://arxiv.org/format/2501.00034
arXiv:2501.00058,European Defence Readiness,d'Artis Kancs,,,General Economics (econ.GN),https://arxiv.org/abs/2501.00058,https://arxiv.org/pdf/2501.00058,,https://arxiv.org/format/2501.00058
arXiv:2501.00218,How Well Did U.S. Rail and Intermodal Freight Respond to the COVID-19 Pandemic vs. the Great Recession?,"Max T.M. Ng, Joseph Schofer, Hani S. Mahmassani","28 pages, 26 figures. This is the accepted version of a work that was published in Transportation Research Record",Transportation Research Record 2677.4 (2023): 597-610,General Economics (econ.GN); Applications (stat.AP),https://arxiv.org/abs/2501.00218,https://arxiv.org/pdf/2501.00218,,https://arxiv.org/format/2501.00218
arXiv:2501.00382,Adventures in Demand Analysis Using AI,"Philipp Bach, Victor Chernozhukov, Sven Klaassen, Martin Spindler, Jan Teichert-Kluge, Suhas Vijaykumar","42 pages, 9 figures",,General Economics (econ.GN); Artificial Intelligence (cs.AI); Applications (stat.AP); Machine Learning (stat.ML),https://arxiv.org/abs/2501.00382,https://arxiv.org/pdf/2501.00382,https://arxiv.org/html/2501.00382v1,https://arxiv.org/format/2501.00382
arXiv:2501.00618,An Evaluation of Borda Count Variations Using Ranked Choice Voting Data,"N. Bradley Fox, Benjamin Bruyns",,,General Economics (econ.GN),https://arxiv.org/abs/2501.00618,https://arxiv.org/pdf/2501.00618,https://arxiv.org/html/2501.00618v2,https://arxiv.org/format/2501.00618
arXiv:2501.00826,LLM-Powered Multi-Agent System for Automated Crypto Portfolio Management,"Yichen Luo, Yebo Feng, Jiahua Xu, Paolo Tasca, Yang Liu",,,Trading and Market Microstructure (q-fin.TR); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2501.00826,https://arxiv.org/pdf/2501.00826,https://arxiv.org/html/2501.00826v2,https://arxiv.org/format/2501.00826
arXiv:2501.00863,Paternalism and Deliberation: An Experiment on Making Formal Rules,Max R. P. Grossmann,,,General Economics (econ.GN),https://arxiv.org/abs/2501.00863,https://arxiv.org/pdf/2501.00863,https://arxiv.org/html/2501.00863v1,https://arxiv.org/format/2501.00863
arXiv:2501.01084,Are Politicians Responsive to Mass Shootings? Evidence from U.S. State Legislatures,"Haotian Chen, Jack Kappelman",,,General Economics (econ.GN),https://arxiv.org/abs/2501.01084,https://arxiv.org/pdf/2501.01084,https://arxiv.org/html/2501.01084v2,https://arxiv.org/format/2501.01084
arXiv:2501.01219,"Model of an Open, Decentralized Computational Network with Incentive-Based Load Balancing",German Rodikov,,,Computational Finance (q-fin.CP); Dynamical Systems (math.DS); Optimization and Control (math.OC),https://arxiv.org/abs/2501.01219,https://arxiv.org/pdf/2501.01219,https://arxiv.org/html/2501.01219v1,https://arxiv.org/format/2501.01219
arXiv:2501.01241,Position building in competition is a game with incomplete information,Neil A. Chriss,"35 pages, 8 figures",,Trading and Market Microstructure (q-fin.TR),https://arxiv.org/abs/2501.01241,https://arxiv.org/pdf/2501.01241,https://arxiv.org/html/2501.01241v2,https://arxiv.org/format/2501.01241
arXiv:2501.01260,The Learning Crisis: Three Years After COVID-19,"Tomasz Gajderowicz, Maciej Jakubowski, Alec Kennedy, Christian Christrup Kjeldsen, Harry Anthony Patrinos, Rolf Strietholt",,,General Economics (econ.GN),https://arxiv.org/abs/2501.01260,https://arxiv.org/pdf/2501.01260,,https://arxiv.org/format/2501.01260
arXiv:2501.01278,Risk forecasting using Long Short-Term Memory Mixture Density Networks,Nico Herrig,"A thesis presented for the degree of Master of Science (MSc.) in Applied Statistics and Datamining, supervised by Prof. Dr. Valentin Popov",,Computational Finance (q-fin.CP),https://arxiv.org/abs/2501.01278,https://arxiv.org/pdf/2501.01278,https://arxiv.org/html/2501.01278v1,https://arxiv.org/format/2501.01278
arXiv:2501.01298,Inequality of opportunity under current China's license plate policy,"Nina Xiaochun Sun, Zaifang He, Yi Pang","Licence plate numbers in other major cities have not been covered (Guangzhou, Shenzhen), and hence new data still needs to be supplemented. Single GINI coefficient is insufficient to support conclusions in terms of inequality of opportunity, and we are still processing other methods. Therefore, this work is incomplete, and has been withdrawn by authors",,General Economics (econ.GN),https://arxiv.org/abs/2501.01298,https://arxiv.org/pdf/2501.01298,,https://arxiv.org/format/2501.01298
arXiv:2501.01447,Analyzing Country-Level Vaccination Rates and Determinants of Practical Capacity to Administer COVID-19 Vaccines,"Sharika J. Hegde, Max T.M. Ng, Marcos Rios, Hani S. Mahmassani, Ying Chen, Karen Smilowitz",Under consideration for more thorough analysis,,General Economics (econ.GN); Machine Learning (cs.LG); Econometrics (econ.EM); Applications (stat.AP),https://arxiv.org/abs/2501.01447,https://arxiv.org/pdf/2501.01447,,https://arxiv.org/format/2501.01447
arXiv:2501.01448,Agency-Driven Labor Theory: A Framework for Understanding Human Work in the AI Age,Venkat Ram Reddy Ganuthula,,,General Economics (econ.GN),https://arxiv.org/abs/2501.01448,https://arxiv.org/pdf/2501.01448,,https://arxiv.org/format/2501.01448
arXiv:2501.01533,Dissertation Paths: Advisors and Students in the Economics Research Production Function,"Joshua Angrist, Marc Diederichs",,,General Economics (econ.GN),https://arxiv.org/abs/2501.01533,https://arxiv.org/pdf/2501.01533,https://arxiv.org/html/2501.01533v5,https://arxiv.org/format/2501.01533
arXiv:2501.01748,On consistency of optimal portfolio choice for state-dependent exponential utilities,"Edoardo Berton, Marzia De Donno, Marco Maggis",,,Mathematical Finance (q-fin.MF),https://arxiv.org/abs/2501.01748,https://arxiv.org/pdf/2501.01748,https://arxiv.org/html/2501.01748v1,https://arxiv.org/format/2501.01748
arXiv:2501.01763,"Quantifying A Firm's AI Engagement: Constructing Objective, Data-Driven, AI Stock Indices Using 10-K Filings","Lennart Ante, Aman Saggu","43 pages, 5 tables, 3 figures, 1 appendix figure","Technological Forecasting and Social Change, 212, 123965 (2025)",General Finance (q-fin.GN); Artificial Intelligence (cs.AI); Econometrics (econ.EM); Portfolio Management (q-fin.PM); Risk Management (q-fin.RM),https://arxiv.org/abs/2501.01763,https://arxiv.org/pdf/2501.01763,,https://arxiv.org/format/2501.01763
arXiv:2501.01781,Vulnerabilities and capabilities in the EU Automotive industry: Leveraging Input-Output Analysis and Economic Complexity,"Lorenzo Cresti, Dario Mazzilli, Aurelio Patelli, Angelica Sbardella, Andrea Tacchella","32 pages, 13 figures, article",,General Economics (econ.GN),https://arxiv.org/abs/2501.01781,https://arxiv.org/pdf/2501.01781,https://arxiv.org/html/2501.01781v2,https://arxiv.org/format/2501.01781
arXiv:2501.02327,Finite Element Method for HJB in Option Pricing with Stock Borrowing Fees,"Rakhymzhan Kazbek, Aidana Abdukarimova",,,Computational Finance (q-fin.CP),https://arxiv.org/abs/2501.02327,https://arxiv.org/pdf/2501.02327,https://arxiv.org/html/2501.02327v1,https://arxiv.org/format/2501.02327
arXiv:2501.02371,The Effect of Capital Share on Income Inequality: Identifying the Time Patterns,"Oğuzhan Akgün, Ezgi Özsöğüt",,,General Economics (econ.GN),https://arxiv.org/abs/2501.02371,https://arxiv.org/pdf/2501.02371,https://arxiv.org/html/2501.02371v1,https://arxiv.org/format/2501.02371
arXiv:2501.02383,Strategic Investment to Mitigate Transition Risks,"Jiayue Zhang, Tony S. Wirjanto, Lysa Porth, Ken Seng Tan",,,General Economics (econ.GN),https://arxiv.org/abs/2501.02383,https://arxiv.org/pdf/2501.02383,https://arxiv.org/html/2501.02383v1,https://arxiv.org/format/2501.02383
arXiv:2501.02468,"The Explore of Knowledge Management Dynamic Capabilities, AI-Driven Knowledge Sharing, Knowledge-Based Organizational Support, and Organizational Learning on Job Performance: Evidence from Chinese Technological Companies",Jun Cui,,,General Economics (econ.GN),https://arxiv.org/abs/2501.02468,https://arxiv.org/pdf/2501.02468,,https://arxiv.org/format/2501.02468
arXiv:2501.02674,Identifying the Hidden Nexus between Benford Law Establishment in Stock Market and Market Efficiency: An Empirical Investigation,M. R. Sarkandiz,"12 pages, 8 tables",,General Economics (econ.GN); Econometrics (econ.EM),https://arxiv.org/abs/2501.02674,https://arxiv.org/pdf/2501.02674,,https://arxiv.org/format/2501.02674
arXiv:2501.03015,Characterizing Measurement Error in the German Socio-Economic Panel Using Linked Survey and Administrative Data,Nico Thurow,"Updated the title page, main body still based on Master's thesis from Nov. 18, 2024",,General Economics (econ.GN),https://arxiv.org/abs/2501.03015,https://arxiv.org/pdf/2501.03015,https://arxiv.org/html/2501.03015v1,https://arxiv.org/format/2501.03015
arXiv:2501.03114,Environmental Policy in General Equilibrium under Market Power and Price Discrimination,"Tengjiao Chen, Daniel H. Karney",45 pages total,,General Economics (econ.GN),https://arxiv.org/abs/2501.03114,https://arxiv.org/pdf/2501.03114,,https://arxiv.org/format/2501.03114
arXiv:2501.03171,High-frequency lead-lag relationships in the Chinese stock index futures market: tick-by-tick dynamics of calendar spreads,"Guanlin Li, Xiyan Chen, Yingzheng Liu","31 pages, 7 figures",,Computational Finance (q-fin.CP); Statistical Finance (q-fin.ST); Applications (stat.AP),https://arxiv.org/abs/2501.03171,https://arxiv.org/pdf/2501.03171,https://arxiv.org/html/2501.03171v1,https://arxiv.org/format/2501.03171
arXiv:2501.03196,When Do Voters Stop Caring? Estimating the Shape of Voter Utility Function,"Aleksandra Conevska, Can Mutlu",,,General Economics (econ.GN),https://arxiv.org/abs/2501.03196,https://arxiv.org/pdf/2501.03196,https://arxiv.org/html/2501.03196v2,https://arxiv.org/format/2501.03196
arXiv:2501.03269,Evaluating the resilience of ESG investments in European Markets during turmoil periods,"Barbara Iannone, Pierdomenico Duttilo, Stefano Antonio Gattone",,Corporate Social Responsibility and Environmental Management (2025) 1-15,Statistical Finance (q-fin.ST),https://arxiv.org/abs/2501.03269,https://arxiv.org/pdf/2501.03269,https://arxiv.org/html/2501.03269v1,https://arxiv.org/format/2501.03269
arXiv:2501.03658,"Market Making with Fads, Informed, and Uninformed Traders","Emilio Barucci, Adrien Mathieu, Leandro Sánchez-Betancourt",,,Trading and Market Microstructure (q-fin.TR); Mathematical Finance (q-fin.MF),https://arxiv.org/abs/2501.03658,https://arxiv.org/pdf/2501.03658,https://arxiv.org/html/2501.03658v2,https://arxiv.org/format/2501.03658
arXiv:2501.03919,Multi-Hypothesis Prediction for Portfolio Optimization: A Structured Ensemble Learning Approach to Risk Diversification,"Alejandro Rodriguez Dominguez, Muhammad Shahzad, Xia Hong","50 Pages, 15 Figures, 10 Tables",,Portfolio Management (q-fin.PM),https://arxiv.org/abs/2501.03919,https://arxiv.org/pdf/2501.03919,https://arxiv.org/html/2501.03919v6,https://arxiv.org/format/2501.03919
