arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00010,Coordinate Space Modification of Fock's Theory-Harmonic Tensors in the Quantum Coulomb Problem,Sergei P. Efimov,"38 pages, 1 figure","Phys. Usp.,65:9,pp.952-967 (2022) (in russian)",Quantum Physics (quant-ph); Atomic Physics (physics.atom-ph),https://arxiv.org/abs/2501.00010,https://arxiv.org/pdf/2501.00010,,https://arxiv.org/format/2501.00010
arXiv:2501.00135,GroverGPT: A Large Language Model with 8 Billion Parameters for Quantum Searching,"Haoran Wang, Pingzhi Li, Min Chen, Jinglei Cheng, Junyu Liu, Tianlong Chen","12 pages including appendices. v2, v3, v4: Add more experiments include ablation tests. Fix the terminology about infidelity. Add more benchmarks including Llama-3.2-3B and DeepSeek-v2-Lite",,Quantum Physics (quant-ph); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2501.00135,https://arxiv.org/pdf/2501.00135,https://arxiv.org/html/2501.00135v4,https://arxiv.org/format/2501.00135
arXiv:2501.00173,The Aldous--Lyons Conjecture II: Undecidability,"Lewis Bowen, Michael Chapman, Thomas Vidick","207 pages, 17 figures",,Quantum Physics (quant-ph); Combinatorics (math.CO); Group Theory (math.GR); Probability (math.PR),https://arxiv.org/abs/2501.00173,https://arxiv.org/pdf/2501.00173,,https://arxiv.org/format/2501.00173
arXiv:2501.00180,A Coherence-Protection Scheme for Quantum Sensors Based on Ultra-Shallow Single Nitrogen-Vacancy Centers in Diamond,"Anton Pershin, András Tárkányi, Vladimir Verkhovlyuk, Viktor Ivády, Adam Gali","11 pages, 5 figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00180,https://arxiv.org/pdf/2501.00180,https://arxiv.org/html/2501.00180v2,https://arxiv.org/format/2501.00180
arXiv:2501.00189,Optimal asymptotic precision bounds for nonlinear quantum metrology under collective dephasing,"Francisco Riberi, Lorenza Viola","23 pages, 3 figures, 1 table",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00189,https://arxiv.org/pdf/2501.00189,https://arxiv.org/html/2501.00189v1,https://arxiv.org/format/2501.00189
arXiv:2501.00209,Unraveling the switching dynamics in a quantum double-well potential,"Qile Su, Rodrigo G. Cortiñas, Jayameenakshi Venkatraman, Shruti Puri",,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00209,https://arxiv.org/pdf/2501.00209,https://arxiv.org/html/2501.00209v1,https://arxiv.org/format/2501.00209
arXiv:2501.00280,Optimizing Global Quantum Communication via Satellite Constellations,"Yichen Gao, Guanqun Song, Ting Zhu",,,Quantum Physics (quant-ph); Emerging Technologies (cs.ET),https://arxiv.org/abs/2501.00280,https://arxiv.org/pdf/2501.00280,https://arxiv.org/html/2501.00280v1,https://arxiv.org/format/2501.00280
arXiv:2501.00293,Optimal Control in Nearly-Adiabatic Two-Level Quantum Systems via Time-Dependent Resonance,Takayuki Suzuki,,,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00293,https://arxiv.org/pdf/2501.00293,https://arxiv.org/html/2501.00293v1,https://arxiv.org/format/2501.00293
arXiv:2501.00327,Investigating Pure State Uniqueness in Tomography via Optimization,"Jiahui Wu, Zheng An, Chao Zhang, Xuanran Zhu, Shilin Huang, Bei Zeng","13 pages, 3 figures",,Quantum Physics (quant-ph),https://arxiv.org/abs/2501.00327,https://arxiv.org/pdf/2501.00327,https://arxiv.org/html/2501.00327v1,https://arxiv.org/format/2501.00327
arXiv:2501.00331,Q3DE: A fault-tolerant quantum computer architecture for multi-bit burst errors by cosmic rays,"Yasunari Suzuki, Takanori Sugiyama, Tomochika Arai, Wang Liao, Koji Inoue, Teruo Tanimoto",Published in 2022 55th IEEE/ACM International Symposium on Microarchitecture (MICRO),"2022 55th IEEE/ACM International Symposium on Microarchitecture (MICRO), Chicago, IL, USA, 2022, pp. 1110-1125",Quantum Physics (quant-ph); Hardware Architecture (cs.AR),https://arxiv.org/abs/2501.00331,https://arxiv.org/pdf/2501.00331,https://arxiv.org/html/2501.00331v1,https://arxiv.org/format/2501.00331
arXiv:2501.00350,Analysis of memory effects in the dynamic evolution of the spin-boson model,"Rayees A Mala, Mehboob Rashid, Muzaffar Qadir Lone","12 pages, 7figures. Comments are welcome",,Quantum Physics (quant-ph); Other Condensed Matter (cond-mat.other),https://arxiv.org/abs/2501.00350,https://arxiv.org/pdf/2501.00350,https://arxiv.org/html/2501.00350v1,https://arxiv.org/format/2501.00350
