arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2501.00007,Statistical Demography Meets Ministry of Health: The Case of the Family Planning Estimation Tool,"Leontine Alkema, Herbert Susmann, Evan Ray, Shauna Mooney, Niamh Cahill, Kristin Bietsch, A.A. Jayachandran, Rogers Kagimu, Priya Emmart, Zenon Mujani, Khan Muhammad, Brighton Muzavazi, Rebecca Rosenberg, John Stover, Emily Sonneveldt",,,Applications (stat.AP),https://arxiv.org/abs/2501.00007,https://arxiv.org/pdf/2501.00007,https://arxiv.org/html/2501.00007v1,https://arxiv.org/format/2501.00007
arXiv:2501.00087,High-Dimensional Markov-switching Ordinary Differential Processes,"Katherine Tsai, Mladen Kolar, Sanmi Koyejo",,,Methodology (stat.ME); Machine Learning (cs.LG); Statistics Theory (math.ST); Applications (stat.AP),https://arxiv.org/abs/2501.00087,https://arxiv.org/pdf/2501.00087,,https://arxiv.org/format/2501.00087
arXiv:2501.00118,A portmanteau test for multivariate non-stationary functional time series with an increasing number of lags,"Lujia Bai, Holger Dette, Weichi Wu",,,Methodology (stat.ME); Statistics Theory (math.ST),https://arxiv.org/abs/2501.00118,https://arxiv.org/pdf/2501.00118,,https://arxiv.org/format/2501.00118
arXiv:2501.00119,Post Launch Evaluation of Policies in a High-Dimensional Setting,"Shima Nassiri, Mohsen Bayati, Joe Cooprider","15 pages, 2 figures, 6 tables",,Machine Learning (stat.ML); Machine Learning (cs.LG); Applications (stat.AP); Methodology (stat.ME),https://arxiv.org/abs/2501.00119,https://arxiv.org/pdf/2501.00119,https://arxiv.org/html/2501.00119v1,https://arxiv.org/format/2501.00119
arXiv:2501.00126,Competitiveness of Formula 1 championship from 2012 to 2022 as measured by Kendall corrected evolutive coefficient,Francisco Pedroche,"10 pages, 1 figure. Conference: Mathematical Modelling in Engineering & Human Behaviour 2023 (MME&HB 2023), UPV, Valencia, Spain, 2023","Mathematical Modelling in Engineering & Human Behaviour 2023 (MME&HB 2023), UPV, Valencia, Spain, 2023. Pages 394-404",Applications (stat.AP),https://arxiv.org/abs/2501.00126,https://arxiv.org/pdf/2501.00126,https://arxiv.org/html/2501.00126v1,https://arxiv.org/format/2501.00126
arXiv:2501.00212,Denoising Data with Measurement Error Using a Reproducing Kernel-based Diffusion Model,"Mingyang Yi, Marcos Matabuena, Ruoyu Wang",,,Methodology (stat.ME),https://arxiv.org/abs/2501.00212,https://arxiv.org/pdf/2501.00212,https://arxiv.org/html/2501.00212v1,https://arxiv.org/format/2501.00212
arXiv:2501.00270,Analyzing Scalogram Ridges in the Presence of Noise,"Gi-Ren Liu, Yuan-Chung Sheu, Hau-Tieng Wu",,,Statistics Theory (math.ST); Probability (math.PR),https://arxiv.org/abs/2501.00270,https://arxiv.org/pdf/2501.00270,https://arxiv.org/html/2501.00270v1,https://arxiv.org/format/2501.00270
arXiv:2501.00277,Efficient Human-in-the-Loop Active Learning: A Novel Framework for Data Labeling in AI Systems,"Yiran Huang, Jian-Feng Yang, Haoda Fu",,,Machine Learning (stat.ML); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC); Machine Learning (cs.LG),https://arxiv.org/abs/2501.00277,https://arxiv.org/pdf/2501.00277,https://arxiv.org/html/2501.00277v1,https://arxiv.org/format/2501.00277
arXiv:2501.00535,Tensor Topic Modeling Via HOSVD,"Yating Liu, Claire Donnat",,,Statistics Theory (math.ST); Applications (stat.AP),https://arxiv.org/abs/2501.00535,https://arxiv.org/pdf/2501.00535,https://arxiv.org/html/2501.00535v1,https://arxiv.org/format/2501.00535
arXiv:2501.00558,"Matern and Generalized Wendland correlation models that parameterize hole effect, smoothness, and support","Xavier Emery, Moreno Bevilacqua, Emilio Porcu",,,Methodology (stat.ME),https://arxiv.org/abs/2501.00558,https://arxiv.org/pdf/2501.00558,https://arxiv.org/html/2501.00558v1,https://arxiv.org/format/2501.00558
arXiv:2501.00565,Polynomial time sampling from log-smooth distributions in fixed dimension under semi-log-concavity of the forward diffusion with application to strongly dissipative distributions,"Adrien Vacher, Omar Chehab, Anna Korba",,,Computation (stat.CO); Machine Learning (cs.LG); Statistics Theory (math.ST),https://arxiv.org/abs/2501.00565,https://arxiv.org/pdf/2501.00565,https://arxiv.org/html/2501.00565v2,https://arxiv.org/format/2501.00565
arXiv:2501.00566,Compositional Covariate Importance Testing via Partial Conjunction of Bivariate Hypotheses,"Ritwik Bhaduri, Siyuan Ma, Lucas Janson",,,Methodology (stat.ME); Statistics Theory (math.ST),https://arxiv.org/abs/2501.00566,https://arxiv.org/pdf/2501.00566,https://arxiv.org/html/2501.00566v1,https://arxiv.org/format/2501.00566
